symbol,value
…,0
œ,1
š,2
š,3
‰,4
”,5
ˆ,6
—,7
œ,8
˜,9
‡,10
‘,11
‡,12
„,13
—,14
—,15
ˆ,16
”,17
›,18
˜,19
š,20
‹,21
—,22
š,23
Œ,24
—,25
›,26
‘,27
„,28
•,29
˜,30
‡,31
“,32
‰,33
’,34
ž,35
†,36
ˆ,37
‰,38
‡,39
•,40
ˆ,41
‚,42
“,43
›,44
™,45
‡,46
‚,47
Œ,48
‹,49
–,50
Ÿ,51
•,52
€,53
…,54
ž,55
š,56
†,57
‚,58
™,59
…,60
˜,61
‹,62
ˆ,63
ž,64
Ÿ,65
€,66
–,67
„,68
‡,69
‹,70
Œ,71
Œ,72
”,73
Š,74
Š,75
Œ,76
‚,77
Š,78
”,79
–,80
™,81
™,82
˜,83
…,84
Ž,85
Š,86
”,87
‰,88
•,89
™,90
œ,91
™,92
’,93
™,94
‡,95
Ÿ,96
ž,97
“,98
ƒ,99
…,100
Ž,101
œ,102
‹,103
•,104
‘,105
Š,106
ž,107
‘,108
š,109
‡,110
“,111
ž,112
Š,113
ƒ,114
ƒ,115
š,116
—,117
–,118
Ž,119
™,120
ˆ,121
‘,122
œ,123
œ,124
‰,125
–,126
‹,127
ƒ,128
…,129
Ž,130
Ÿ,131
ƒ,132
‚,133
„,134
–,135
—,136
–,137
‡,138
˜,139
œ,140
›,141
…,142
‘,143
„,144
Ÿ,145
†,146
ƒ,147
ƒ,148
—,149
—,150
ˆ,151
•,152
”,153
›,154
˜,155
Œ,156
Ÿ,157
‚,158
š,159
ƒ,160
’,161
…,162
œ,163
œ,164
˜,165
œ,166
“,167
ˆ,168
”,169
œ,170
…,171
œ,172
‰,173
‘,174
€,175
ž,176
ˆ,177
–,178
€,179
ƒ,180
‰,181
…,182
‰,183
š,184
˜,185
‰,186
–,187
„,188
Ÿ,189
ƒ,190
‡,191
†,192
š,193
‹,194
ˆ,195
ƒ,196
‚,197
š,198
€,199
„,200
Œ,201
Š,202
…,203
”,204
”,205
€,206
…,207
“,208
™,209
€,210
”,211
•,212
‡,213
›,214
‹,215
œ,216
—,217
ˆ,218
Š,219
‰,220
”,221
‚,222
š,223
ˆ,224
“,225
˜,226
ƒ,227
Š,228
…,229
•,230
„,231
—,232
—,233
‘,234
œ,235
ˆ,236
‰,237
„,238
—,239
€,240
†,241
š,242
™,243
Š,244
ƒ,245
‹,246
ž,247
“,248
Ÿ,249
Ž,250
“,251
…,252
•,253
†,254
ž,255
™,256
—,257
Š,258
‹,259
‘,260
š,261
‡,262
›,263
‹,264
†,265
‚,266
—,267
‰,268
•,269
†,270
œ,271
‰,272
Š,273
ˆ,274
‚,275
“,276
›,277
Œ,278
–,279
‰,280
”,281
€,282
ž,283
Š,284
‰,285
Œ,286
Œ,287
š,288
†,289
•,290
’,291
™,292
€,293
“,294
†,295
‡,296
’,297
‡,298
–,299
„,300
•,301
‰,302
‘,303
–,304
ƒ,305
ˆ,306
Ÿ,307
‚,308
’,309
…,310
Ž,311
€,312
‚,313
›,314
—,315
—,316
˜,317
†,318
’,319
Š,320
‚,321
€,322
Š,323
Ÿ,324
…,325
•,326
Ž,327
š,328
“,329
ƒ,330
š,331
—,332
ƒ,333
‚,334
ˆ,335
•,336
š,337
’,338
œ,339
…,340
‰,341
–,342
˜,343
™,344
™,345
˜,346
”,347
Œ,348
š,349
Ÿ,350
‹,351
œ,352
Ÿ,353
”,354
’,355
Š,356
‡,357
‡,358
‚,359
Œ,360
„,361
ž,362
“,363
—,364
˜,365
‚,366
”,367
“,368
„,369
“,370
ˆ,371
ž,372
ž,373
‹,374
˜,375
‡,376
”,377
‚,378
‹,379
Œ,380
ž,381
„,382
ˆ,383
Ž,384
Ÿ,385
‡,386
Š,387
›,388
‰,389
œ,390
…,391
Š,392
•,393
‘,394
—,395
—,396
˜,397
‹,398
‰,399
“,400
‡,401
€,402
”,403
ž,404
’,405
‹,406
€,407
•,408
˜,409
•,410
™,411
ž,412
€,413
‹,414
Œ,415
›,416
‚,417
„,418
Š,419
™,420
Ž,421
—,422
˜,423
–,424
œ,425
‚,426
”,427
š,428
“,429
š,430
…,431
–,432
‡,433
‘,434
˜,435
ˆ,436
„,437
–,438
Ž,439
‹,440
…,441
—,442
‹,443
–,444
Œ,445
‚,446
‚,447
‰,448
„,449
š,450
Ÿ,451
›,452
ž,453
—,454
Œ,455
ž,456
–,457
‹,458
†,459
Ÿ,460
ˆ,461
‰,462
–,463
”,464
ˆ,465
Ž,466
ˆ,467
˜,468
‰,469
œ,470
›,471
›,472
Ž,473
•,474
‹,475
„,476
‰,477
…,478
˜,479
ˆ,480
™,481
ƒ,482
ˆ,483
•,484
”,485
‹,486
›,487
–,488
‘,489
™,490
Š,491
†,492
Œ,493
š,494
ƒ,495
”,496
„,497
”,498
‘,499
